model_size,thinking,thinking_budget,difficulty,num_puzzles,f1_mean,f1_std,recall_mean,precision_mean,car_mean
14b,False,4096,easy,4,0.12469479545941316,0.15019268911506378,0.07350444096133751,0.55,1.0
14b,False,4096,hard,24,0.05517873524337058,0.055106540078876824,0.030188503095792258,0.4276289682539683,1.0
14b,False,4096,medium,30,0.05571576229507196,0.059503262060088644,0.03078593884816389,0.4033333333333334,1.0
14b,False,8192,easy,4,0.05474778844344062,0.03806700545830981,0.030400992685475445,0.375,1.0
14b,False,8192,hard,24,0.06420924900260337,0.058287602335836255,0.03488479870879215,0.5803876678876679,1.0
14b,False,8192,medium,30,0.06277523846070794,0.06380289718230948,0.03524137469378642,0.46205266955266955,1.0
14b,False,16384,easy,4,0.0718319500299478,0.06310809865226683,0.04176462904911181,0.3,1.0
14b,False,16384,hard,24,0.06996523435880696,0.06813078408775682,0.03826652281760189,0.5521329365079365,1.0
14b,False,16384,medium,30,0.0659770115628926,0.05765144864895447,0.03660522361927375,0.4669444444444445,1.0
14b,True,4096,easy,4,0.3820084485407066,0.12717883469617394,0.25506138975966564,0.8017676767676768,1.0
14b,True,4096,hard,24,0.23758301245085342,0.11520571187269833,0.14471513825939653,0.7753421007097477,1.0
14b,True,4096,medium,30,0.3176355120491915,0.10032655723878672,0.2062571774366055,0.7585237801414274,1.0
14b,True,8192,easy,4,0.353591283823842,0.26402169688762467,0.2647923197492163,0.718201754385965,1.0
14b,True,8192,hard,24,0.24668236738440022,0.1112998946752582,0.14917614579585614,0.8213127150627151,1.0
14b,True,8192,medium,30,0.28910458929857985,0.14096538818515045,0.18646221013210654,0.7420360244044454,1.0
14b,True,16384,easy,4,0.30572803846379015,0.18995687847866558,0.20154127481713688,0.7,1.0
14b,True,16384,hard,24,0.2459879634387766,0.11866463528347405,0.14857248189595043,0.8020122238872238,1.0
14b,True,16384,medium,30,0.27883823904316635,0.10699530081628002,0.1743759954107889,0.7758742646242646,1.0
30b,False,4096,easy,4,0.10795454545454547,0.10684683332343452,0.07076149425287356,0.26641414141414144,1.0
30b,False,4096,hard,24,0.062376025867604136,0.07681866881852716,0.035027077728775495,0.4373538011695906,1.0
30b,False,4096,medium,30,0.07502660049856483,0.06991877642883777,0.043012934984240164,0.43873015873015864,1.0
30b,False,8192,easy,4,0.06340579710144928,0.04800123267208649,0.04584639498432602,0.3157142857142857,1.0
30b,False,8192,hard,24,0.08722961753198281,0.08886541761871533,0.05078962681123276,0.6196835571835572,1.0
30b,False,8192,medium,30,0.12799409256443994,0.07483915723915832,0.0792937794525115,0.49453987957581735,1.0
30b,False,16384,easy,4,0.06950698757763976,0.01304030065183452,0.03902168234064786,0.4375,1.0
30b,False,16384,hard,24,0.09726238107947838,0.0732348484279572,0.05409645057269391,0.6509093915343915,1.0
30b,False,16384,medium,30,0.11910807353779132,0.08200702983045235,0.06941384481160703,0.545424482924483,1.0
30b,True,4096,easy,4,0.08412698412698413,0.10666855629467581,0.05172413793103448,0.22619047619047616,1.0
30b,True,4096,hard,24,0.05395452420017774,0.07347366973621854,0.03075501618329089,0.3157828282828283,1.0
30b,True,4096,medium,30,0.058619856624189684,0.059970879528151756,0.03245727382495229,0.432027417027417,1.0
30b,True,8192,easy,4,0.3992292977228415,0.13411194537315713,0.27259665621734586,0.7916666666666666,1.0
30b,True,8192,hard,24,0.27690758405145866,0.11438622806000573,0.17125883073602968,0.8280312434240452,1.0
30b,True,8192,medium,30,0.3239041866807669,0.14515998632679292,0.21495738472888617,0.7507017744324245,1.0
30b,True,16384,easy,4,0.36996797545438503,0.21593760497855022,0.26208202716823403,0.8381410256410255,1.0
30b,True,16384,hard,24,0.2694929487959147,0.09750585431240538,0.16197491670512307,0.9019956894956894,1.0
30b,True,16384,medium,30,0.32989065034131576,0.09427292143325285,0.2104344984126582,0.8147560821245032,1.0
32b,False,4096,easy,4,0.10983739837398374,0.12682103371224931,0.07170846394984326,0.4583333333333333,1.0
32b,False,4096,hard,24,0.0894021422396427,0.08036164973377175,0.05109181531906696,0.5822194185645273,1.0
32b,False,4096,medium,30,0.13794287762989355,0.10201195730061158,0.08203280544626565,0.5522787397787398,1.0
32b,False,8192,easy,4,0.1346056536758624,0.08272112532612168,0.07899033437826541,0.6232142857142857,1.0
32b,False,8192,hard,24,0.10535792927269554,0.06008151726341681,0.05829950958035654,0.6768187830687831,1.0
32b,False,8192,medium,30,0.1263766618931974,0.11183310707987554,0.07568747900900367,0.573538465891407,1.0
32b,False,16384,easy,4,0.06117365424430642,0.04308564170401616,0.037225705329153605,0.37179487179487175,1.0
32b,False,16384,hard,24,0.10175739629985063,0.07224491518919036,0.05874760838429175,0.6476783633033634,1.0
32b,False,16384,medium,30,0.13706115327312807,0.09896622381581714,0.08111364062796235,0.5987439874939875,1.0
32b,True,4096,easy,4,0.36358885017421605,0.05885202052625984,0.25137147335423193,0.678030303030303,1.0
32b,True,4096,hard,24,0.23354173032166278,0.1302426880347885,0.14360654714231139,0.7829663392163392,1.0
32b,True,4096,medium,30,0.31270052327453846,0.1227838365308532,0.20884477056591688,0.7756530931598995,1.0
32b,True,8192,easy,4,0.5370683686232467,0.07981891075194267,0.4024294670846395,0.8541666666666666,1.0
32b,True,8192,hard,24,0.2882571373535104,0.12141084050292406,0.18078843532611724,0.8455719933661111,1.0
32b,True,8192,medium,30,0.36125912885299527,0.16125795635280932,0.25148647768179927,0.750026746330152,1.0
32b,True,16384,easy,4,0.34121466768525593,0.22088435549263802,0.24689785788923718,0.7681623931623932,1.0
