model_size,budget_from,budget_to,budget_increase,delta_f1,delta_recall,delta_precision,efficiency_f1_per_1k,efficiency_recall_per_1k,diminishing_returns
4b,4096,8192,4096,-0.02026824895949622,-0.013308166683652284,0.012354910415255382,-0.0049483029686270075,-0.0032490641317510457,Yes
4b,8192,16384,8192,0.02038450281284432,0.013271775871964889,-0.021415916459019968,0.002488342628521035,0.001620089828120714,No
8b,4096,8192,4096,-0.013641822862785563,-0.008078675064640634,-0.006308172332513018,-0.0033305231598597567,-0.0019723327794532795,Yes
8b,8192,16384,8192,0.004900316387082104,0.0031580727834594202,0.002992076382035802,0.0005981831527199834,0.00038550693157463626,Yes
14b,4096,8192,4096,-0.012951927982425449,-0.007721743418995425,0.004731006600601884,-0.003162091792584338,-0.00188519126440318,Yes
14b,8192,16384,8192,-0.00889843420340658,-0.010863423361475583,0.008260834497222924,-0.0010862346439705298,-0.0013261014845551249,Yes
30b,4096,8192,4096,0.2512036653881291,0.16776870602636193,0.41579478357662425,0.06132901987014871,0.04095915674471727,No
30b,8192,16384,8192,-0.0019897004377658067,-0.006906190386638672,0.06694264435136632,-0.00024288335421945883,-0.0008430408186814785,Yes
32b,4096,8192,4096,0.0597214829295547,0.047859456979473164,0.024798116366336997,0.014580440168348316,0.01168443773912919,No
32b,8192,16384,8192,-0.02627346549848847,-0.0211166733733536,-0.02188723341330656,-0.003207210143858456,-0.002577718917645703,Yes
claude-haiku,4096,8192,4096,0.05445071131013324,0.05769378816853438,0.03605572976888327,0.013293630690950497,0.014085397502083588,No
claude-haiku,8192,16384,8192,0.047424529822520545,0.05972866212409089,0.008939438260218147,0.005789127175600653,0.0072910964506946885,No
gpt5-mini,4096,8192,4096,0.05929188312435263,0.06051862171687672,0.0483189023477284,0.014475557403406404,0.014775054130096856,No
gpt5-mini,8192,16384,8192,0.07718388658040509,0.09014028923281714,0.04858522655894948,0.009421861154834605,0.011003453275490373,No
