model_size,thinking,thinking_budget,num_puzzles,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,car_mean,car_std,car_ci_lower,car_ci_upper,difficulty_weighted_recall_mean,difficulty_weighted_recall_std,difficulty_weighted_recall_ci_lower,difficulty_weighted_recall_ci_upper,length_4_recall_mean,length_4_recall_std,length_4_recall_ci_lower,length_4_recall_ci_upper,length_5_recall_mean,length_5_recall_std,length_5_recall_ci_lower,length_5_recall_ci_upper,length_6_recall_mean,length_6_recall_std,length_6_recall_ci_lower,length_6_recall_ci_upper,length_7+_recall_mean,length_7+_recall_std,length_7+_recall_ci_lower,length_7+_recall_ci_upper,prefix_coverage_mean,prefix_coverage_std,prefix_coverage_ci_lower,prefix_coverage_ci_upper,avg_word_length_found_mean,avg_word_length_found_std,avg_word_length_found_ci_lower,avg_word_length_found_ci_upper,avg_word_length_missed_mean,avg_word_length_missed_std,avg_word_length_missed_ci_lower,avg_word_length_missed_ci_upper,pangram_recall_mean,pangram_recall_std,pangram_recall_ci_lower,pangram_recall_ci_upper,fp_constraint_violations_mean,fp_constraint_violations_std,fp_constraint_violations_ci_lower,fp_constraint_violations_ci_upper,fp_non_dictionary_mean,fp_non_dictionary_std,fp_non_dictionary_ci_lower,fp_non_dictionary_ci_upper,num_predicted_mean,num_predicted_std,num_predicted_ci_lower,num_predicted_ci_upper,num_actual_mean,num_actual_std,num_actual_ci_lower,num_actual_ci_upper,num_correct_mean,num_correct_std,num_correct_ci_lower,num_correct_ci_upper,cv_f1,f1_p5,f1_p25,f1_p75,f1_p95,success_rate_20,success_rate_30,success_rate_40,success_rate_50,efficiency
4b,True,4096,58,0.7857954545454544,0.2205236996130795,0.7278117035471158,0.843779205543793,0.11062577901759205,0.06679868068322796,0.09306196127578185,0.12818959675940222,0.1872507159104855,0.10286687038024821,0.16020325113199724,0.21429818068897377,1.0,0.0,,,0.05888222956730206,0.04501102871178032,0.04704718287807018,0.07071727625653394,0.2279152395275806,0.12047498759981806,0.19623795633864272,0.2595925227165185,0.10573004722345493,0.1112359783758423,0.07648203767383246,0.1349780567730774,0.010679476468950155,0.03739256231723949,0.000757894206694306,0.020601058731206004,0.0,0.0,,,0.2550804793465197,0.13747933036237356,0.2189321321478433,0.29122882654519605,4.256782739677477,0.24595290781155776,4.1915226489998085,4.322042830355145,5.601881005339268,0.509035047184585,5.468037062592228,5.735724948086308,0.0,0.0,,,0.0,0.0,,,1.3620689655172413,1.5412261678363346,0.9568242026879251,1.7673137283465574,6.293103448275862,3.438729981235449,5.388935491125138,7.197271405426586,46.724137931034484,12.145020065923887,43.53076769188133,49.91750817018764,4.931034482758621,2.943098194292236,4.1571862607266175,5.7048827047906245,0.5493536827353084,0.03835268505079826,0.11680726800778715,0.2691793041926851,0.3706029106029106,0.39655172413793105,0.13793103448275862,0.017241379310344827,0.0,0.8213585236648614
4b,False,4096,58,0.3491584564860427,0.40669314255366723,0.24222394581014323,0.4560929671619422,0.02716453387977475,0.039292380630829155,0.016833129052867823,0.03749593870668168,0.04824679819392394,0.0673742161635898,0.030531651111809006,0.06596194527603888,1.0,0.0,,,0.015037659367180599,0.02539835231943083,0.00835950305453996,0.021715815679821237,0.06301116809235911,0.10699023252881502,0.03487952050486681,0.09114281567985141,0.017332691255105045,0.04631645502583728,0.00515440021402451,0.02951098229618558,0.006490081412682033,0.03088139196137541,-0.0017038548069948246,0.01468401763235889,0.0012315270935960591,0.009379030918551612,-0.0012345633735110922,0.0036976175607032107,0.1194724086631848,0.10573193356468555,0.0916716139225546,0.147273203403815,4.354838709677419,0.594328029333644,4.136837428513475,4.572839990841363,5.499475733573944,0.5026755484085209,5.367303935789792,5.631647531358096,0.0,0.0,,,0.0,0.0,,,1.7758620689655173,1.8547530544312252,1.2881796136999717,2.263544524231063,2.9310344827586206,2.2467291544658696,2.3402871658859703,3.521781799631271,46.724137931034484,12.145020065923887,43.53076769188133,49.91750817018764,1.1551724137931034,1.6308616185546747,0.7263592106365335,1.5839856169496733,1.396449478217908,0.0,0.0,0.06639344262295083,0.21299392097264436,0.08620689655172414,0.0,0.0,0.0,0.4330346283187622
4b,True,8192,58,0.7981503649607098,0.24712930241906036,0.7331710273158137,0.8631297026056058,0.09731761233393976,0.06032133627614206,0.08145692548413767,0.11317829918374185,0.16698246695098928,0.09321946526824654,0.14247165803659131,0.19149327586538725,1.0,0.0,,,0.04946578833577326,0.0372229816495458,0.03967850423356613,0.05925307243798039,0.20894504669453498,0.12365151286216047,0.176432538764788,0.24145755462428195,0.08256946316023395,0.10621612754934218,0.054641356101288376,0.11049757021917953,0.035157337788916734,0.13975032215293262,-0.001923413876443833,0.0722380894542773,0.0014008620689655172,0.007680851625955257,-0.0006187149148960366,0.003420439052827071,0.2467121256381425,0.1414184894468369,0.209528029357181,0.28389622191910396,4.26856833642548,0.2877552241885669,4.191506984157133,4.345629688693826,5.588432399422408,0.5268756361874024,5.449897512925475,5.726967285919341,0.0,0.0,,,0.0,0.0,,,1.3275862068965518,1.637155546034547,0.8971180998705346,1.758054313922569,5.862068965517241,3.3740406088617303,4.974910211760699,6.749227719273783,46.724137931034484,12.145020065923887,43.53076769188133,49.91750817018764,4.5344827586206895,2.829763595862638,3.7904343501523465,5.2785311670890325,0.558259001501081,0.03966037735849056,0.09844271412680755,0.2256048387096774,0.34774305555555557,0.3448275862068966,0.10344827586206896,0.017241379310344827,0.0,0.775678615955814
4b,False,8192,58,0.2863779419813902,0.39920471177007694,0.18141241380798745,0.391343470154793,0.0231044391736134,0.03759476402780757,0.013219399878270454,0.03298947846895634,0.041306297923841453,0.0656934820375637,0.024033077352250774,0.05857951849543214,1.0,0.0,,,0.013390832626823942,0.02967677211536707,0.005587723175136581,0.021193942078511302,0.04751039086683764,0.09277405917487126,0.023116695514640604,0.07190408621903469,0.02585821745304504,0.06942212061764422,0.0076046013440607685,0.04411183356202931,0.0010319917440660474,0.007791366806264964,-0.0010353361391618903,0.003099319627293985,0.0034772529701535787,0.02016035546935516,-0.001823642278856437,0.008778148219163595,0.11018747378974773,0.10073238152865276,0.08370124424491823,0.13667370333457723,4.374741200828157,0.5879737413846311,4.120482288486286,4.629000113170028,5.491968253706686,0.5027923929600709,5.359765733213843,5.624170774199529,0.0,0.0,,,0.0,0.0,,,2.0689655172413794,2.1346109302051937,1.507698184648484,2.630232849834275,3.1206896551724137,2.602816195510241,2.436314023710997,3.8050652866338304,46.724137931034484,12.145020065923887,43.53076769188133,49.91750817018764,1.0517241379310345,1.7211013792489833,0.5991835992389686,1.5042646766231003,1.5903986883231742,0.0,0.0,0.06872294372294371,0.1986401165614376,0.05172413793103448,0.0,0.0,0.0,0.34592834342813433
4b,True,16384,58,0.7767344485016898,0.27137175155140614,0.7053808837939151,0.8480880132094646,0.11058938820590465,0.06559667583791559,0.09334162152695835,0.12783715488485095,0.1873669697638336,0.10225480246982495,0.1604804400384681,0.2142534994891991,1.0,0.0,,,0.061478017111652815,0.05064620086844362,0.048161277435508264,0.07479475678779737,0.24530820861452274,0.12673833285554756,0.21198406274206355,0.2786323544869819,0.07655814717173742,0.08938110189416514,0.053056584458606615,0.10005970988486823,0.026865775549986076,0.06557875071235438,0.009465390833675272,0.04426616026629688,0.003448275862068966,0.02626128657194451,-0.0034567774458310577,0.01035332916996899,0.27665321471702914,0.13944138898246686,0.23998897050287896,0.31331745893117935,4.241121101121101,0.25325125886327116,4.172657695713871,4.309584506528332,5.61133573318486,0.5238833542400733,5.47358762711858,5.749083839251139,0.017241379310344827,0.13130643285972254,-0.017283887229155283,0.05176664584984494,0.0,0.0,,,1.4482758620689655,1.7489085698580493,0.9884237953231422,1.908127928814789,6.5,3.6043346223922437,5.552288522158063,7.447711477841937,46.724137931034484,12.145020065923887,43.53076769188133,49.91750817018764,5.051724137931035,3.0746411217942478,4.243288466263224,5.860159809598845,0.5457461504485654,0.045945945945945955,0.10885885885885886,0.2857142857142857,0.34502652519893895,0.43103448275862066,0.1724137931034483,0.017241379310344827,0.0,0.7949528966525241
4b,False,16384,58,0.36271513307517367,0.4047469732945558,0.2562923415202527,0.4691379246300946,0.027571835553680115,0.03895236965757824,0.017329832054813095,0.037813839052547135,0.04902640871454926,0.0683759911144561,0.031047858336510484,0.06700495909258804,1.0,0.0,,,0.016607937577379207,0.026422446895395597,0.00966050932255876,0.02355536583219965,0.05607572212486666,0.0892792648489402,0.032600936097793125,0.0795505081519402,0.02127140101278032,0.04614331552576505,0.00913863468254846,0.03340416734301218,0.008049535603715172,0.03774134036831554,-0.001964589932137762,0.018063661139568105,0.008620689655172414,0.06565321642986127,-0.008641943614577641,0.02588332292492247,0.11361527908114329,0.09686355770420116,0.08814630490472561,0.13908425325756096,4.361979166666666,0.527305220200688,4.171865361445182,4.55209297188815,5.497329019262003,0.5019188287645838,5.3653561907654455,5.629301847758561,0.0,0.0,,,0.0,0.0,,,5.275862068965517,26.538811765893993,-1.702162768842478,12.253886906773513,6.448275862068965,26.53575701735243,-0.528945770554702,13.425497494692632,46.724137931034484,12.145020065923887,43.53076769188133,49.91750817018764,1.1724137931034482,1.6344743350958786,0.7426506745558328,1.6021769116510636,1.3946767243868012,0.0,0.0,0.06639344262295083,0.19523809523809518,0.05172413793103448,0.0,0.0,0.0,0.19978522553602437
8b,True,4096,58,0.7718962719723368,0.25512866445433874,0.7048136093006387,0.8389789346440348,0.14381850627210196,0.07746028127884368,0.12345136355767167,0.16418564898653226,0.23526536150838523,0.11497493771035792,0.2050342427173259,0.26549648029944456,1.0,0.0,,,0.0832031942391597,0.06281817712953618,0.06668599655365287,0.09972039192466653,0.27389078420780255,0.14030265856627014,0.2370000807007178,0.31078148771488734,0.14903530799828976,0.12185005260810537,0.11699646989626565,0.18107414610031386,0.03797915763860036,0.13947149467358833,0.00097238886186405,0.07498592641533666,0.027465948802155696,0.13811741507833344,-0.008850174219940016,0.06378207182425141,0.30454494661951687,0.14639036899417127,0.26605356125274654,0.3430363319862872,4.425710108604846,0.48442043276384794,4.297176066663349,4.554244150546342,5.628894949674953,0.5289737709741508,5.489808386758437,5.767981512591469,0.02729885057471264,0.14082388721779868,-0.009728903019943013,0.06432660416936829,0.0,0.0,,,1.9482758620689655,2.466778663600894,1.2996694762283143,2.5968822479096167,8.39655172413793,3.6846750204121945,7.427715815488467,9.365387632787394,46.724137931034484,12.145020065923887,43.53076769188133,49.91750817018764,6.448275862068965,3.330730986588556,5.572504792983622,7.324046931154308,0.4887032114426247,0.04714285714285714,0.15842105263157896,0.32136824324324326,0.41903153153153155,0.5862068965517241,0.3103448275862069,0.10344827586206896,0.0,0.8003042135470151
8b,False,4096,58,0.47737411056376566,0.3719274403457182,0.37958077529733475,0.5751674458301966,0.032690751496513834,0.032500685928416005,0.02414513175834075,0.04123637123468692,0.05861671405440466,0.05488216285482471,0.044186184951147754,0.07304724315766158,1.0,0.0,,,0.02235318447674972,0.027579179361757782,0.015101608924296775,0.02960476002920267,0.03380215777280113,0.06392132511559617,0.016994902110531483,0.05060941343507078,0.07061943296730315,0.08825867390609635,0.04741299764904163,0.09382586828556466,0.027125002047602667,0.13538949270501752,-0.00879866581772075,0.06304866991292608,0.010312228339611706,0.03323566040701094,0.0015733569136075418,0.01905109976561587,0.08831147012128115,0.061744709223614504,0.07207652643328516,0.10454641380927715,4.955555555555556,0.7065708911655108,4.7432781594850635,5.167832951626048,5.490461476760161,0.5144394645449067,5.355196514906957,5.6257264386133645,0.017241379310344827,0.13130643285972254,-0.017283887229155283,0.05176664584984494,0.0,0.0,,,4.413793103448276,20.886522543411644,-1.078038044420503,9.905624251317054,5.879310344827586,20.767786784755955,0.418699173208843,11.33992151644633,46.724137931034484,12.145020065923887,43.53076769188133,49.91750817018764,1.4655172413793103,1.4044480371915522,1.0962364546815415,1.834798028077079,0.9362886292787794,0.0,0.03041958041958042,0.07819786808794138,0.18405365126676598,0.034482758620689655,0.0,0.0,0.0,0.2598004004561657
8b,True,8192,58,0.7655880996398238,0.2698812392740523,0.6946264451571253,0.8365497541225222,0.13573983120746133,0.08355404750085897,0.11377041434345267,0.15770924807147,0.22162353864559967,0.12518130023251486,0.1887087936315,0.2545382836596993,1.0,0.0,,,0.07974930824132821,0.05953122554177255,0.06409637041878795,0.09540224606386848,0.24167866978161617,0.1571031949976201,0.2003704904078417,0.28298684915539063,0.16315724505379678,0.13110301541923397,0.12868546440374395,0.1976290257038496,0.028467000835421887,0.06877325981374169,0.010218998762267721,0.04671500290857605,0.010284479249996491,0.04013844125847801,-0.0002693858786791993,0.020838344378672182,0.3002746884652778,0.1512885997314243,0.26049537898014913,0.3400539979504064,4.433994527298099,0.43545300504854034,4.317379451019359,4.550609603576839,5.616241044160541,0.5232938447708612,5.4786479417076315,5.75383414661345,0.03017241379310345,0.14866058573800295,-0.00891589463734466,0.06926072222355156,0.0,0.0,,,1.7758620689655173,2.255932556602591,1.1826948408598814,2.3690292970711533,7.844827586206897,4.241820711935867,6.729497685738018,8.960157486675776,46.724137931034484,12.145020065923887,43.53076769188133,49.91750817018764,6.068965517241379,3.669992442104734,5.103990195758225,7.033940838724533,0.5648375664314859,0.04143413367942895,0.11306818181818182,0.3195454545454546,0.4156585156585156,0.5689655172413793,0.3448275862068966,0.06896551724137931,0.0,0.8084724012576269
8b,False,8192,58,0.42701149425287355,0.38026136987238285,0.3270268639221947,0.5269961245835524,0.024788799888979515,0.027551096161376225,0.017544608437650475,0.032032991340308556,0.046012630152867676,0.049574865449867174,0.032977583765269575,0.05904767654046578,1.0,0.0,,,0.017011251009823893,0.021278255060300056,0.011416419047271417,0.02260608297237637,0.01687310252530835,0.03364007048949644,0.008027896888671952,0.025718308161944748,0.07410751576573077,0.11680175661662315,0.04339605942924754,0.104818972102214,0.025871869215522467,0.13462759438481456,-0.009849639814168469,0.0615933782452134,0.004105090311986864,0.023657800219129294,-0.0021154111555709305,0.010325591779544658,0.0901277210654546,0.06700120412523437,0.0725106524991152,0.10774478963179399,4.944444444444445,0.5802970268545399,4.756333909452908,5.132554979435981,5.482488464654276,0.5117775793918474,5.347923409823183,5.617053519485369,0.017241379310344827,0.13130643285972254,-0.017283887229155283,0.05176664584984494,0.0,0.0,,,1.293103448275862,1.2140785357072637,0.9738777703537496,1.6123291261979746,2.4655172413793105,1.7087547250040993,2.0162230899311284,2.9148113928274926,46.724137931034484,12.145020065923887,43.53076769188133,49.91750817018764,1.1724137931034482,1.3525535438307865,0.8167779678610472,1.5280496183458492,1.0774186410375737,0.0,0.0,0.06095950704225352,0.13476190476190475,0.034482758620689655,0.0,0.0,0.0,0.4697737601338076
