model_size,thinking,thinking_budget,length_category,total_words,found_words,recall
14b,False,4096,4,940,45,0.047872340425531915
14b,False,4096,5,615,23,0.03739837398373984
14b,False,4096,6,519,9,0.017341040462427744
14b,False,4096,7+,636,8,0.012578616352201259
14b,False,8192,4,940,47,0.05
14b,False,8192,5,615,34,0.055284552845528454
14b,False,8192,6,519,6,0.011560693641618497
14b,False,8192,7+,636,6,0.009433962264150943
14b,False,16384,4,940,56,0.059574468085106386
14b,False,16384,5,615,27,0.04390243902439024
14b,False,16384,6,519,9,0.017341040462427744
14b,False,16384,7+,636,9,0.014150943396226415
14b,True,4096,4,940,286,0.30425531914893617
14b,True,4096,5,615,128,0.208130081300813
14b,True,4096,6,519,40,0.07707129094412331
14b,True,4096,7+,636,21,0.0330188679245283
14b,True,8192,4,940,284,0.3021276595744681
14b,True,8192,5,615,121,0.1967479674796748
14b,True,8192,6,519,36,0.06936416184971098
14b,True,8192,7+,636,15,0.02358490566037736
14b,True,16384,4,940,256,0.2723404255319149
14b,True,16384,5,615,128,0.208130081300813
14b,True,16384,6,519,41,0.0789980732177264
14b,True,16384,7+,636,16,0.025157232704402517
30b,False,4096,4,940,63,0.06702127659574468
30b,False,4096,5,615,33,0.05365853658536585
30b,False,4096,6,519,7,0.01348747591522158
30b,False,4096,7+,636,7,0.0110062893081761
30b,False,8192,4,940,119,0.12659574468085105
30b,False,8192,5,615,42,0.06829268292682927
30b,False,8192,6,519,8,0.015414258188824663
30b,False,8192,7+,636,3,0.0047169811320754715
30b,False,16384,4,940,119,0.12659574468085105
30b,False,16384,5,615,36,0.05853658536585366
30b,False,16384,6,519,4,0.007707129094412331
30b,False,16384,7+,636,2,0.0031446540880503146
30b,True,4096,4,940,50,0.05319148936170213
30b,True,4096,5,615,29,0.04715447154471545
30b,True,4096,6,519,3,0.005780346820809248
30b,True,4096,7+,636,6,0.009433962264150943
30b,True,8192,4,940,391,0.41595744680851066
30b,True,8192,5,615,100,0.16260162601626016
30b,True,8192,6,519,22,0.04238921001926782
30b,True,8192,7+,636,4,0.006289308176100629
30b,True,16384,4,940,376,0.4
30b,True,16384,5,615,110,0.17886178861788618
30b,True,16384,6,519,18,0.03468208092485549
30b,True,16384,7+,636,3,0.0047169811320754715
32b,False,4096,4,940,112,0.11914893617021277
32b,False,4096,5,615,47,0.07642276422764227
32b,False,4096,6,519,9,0.017341040462427744
32b,False,4096,7+,636,6,0.009433962264150943
32b,False,8192,4,940,120,0.1276595744680851
32b,False,8192,5,615,49,0.07967479674796749
32b,False,8192,6,519,7,0.01348747591522158
32b,False,8192,7+,636,4,0.006289308176100629
32b,False,16384,4,940,109,0.11595744680851064
32b,False,16384,5,615,54,0.08780487804878048
32b,False,16384,6,519,13,0.025048169556840076
32b,False,16384,7+,636,9,0.014150943396226415
32b,True,4096,4,940,275,0.2925531914893617
32b,True,4096,5,615,134,0.21788617886178863
32b,True,4096,6,519,46,0.08863198458574181
32b,True,4096,7+,636,27,0.04245283018867924
32b,True,8192,4,940,311,0.33085106382978724
32b,True,8192,5,615,159,0.25853658536585367
32b,True,8192,6,519,70,0.1348747591522158
32b,True,8192,7+,636,47,0.07389937106918239
32b,True,16384,4,940,299,0.3180851063829787
32b,True,16384,5,615,144,0.23414634146341465
32b,True,16384,6,519,66,0.12716763005780346
32b,True,16384,7+,636,40,0.06289308176100629
4b,False,4096,4,940,53,0.05638297872340425
4b,False,4096,5,615,10,0.016260162601626018
4b,False,4096,6,519,3,0.005780346820809248
4b,False,4096,7+,636,1,0.0015723270440251573
4b,False,8192,4,940,42,0.04468085106382979
4b,False,8192,5,615,14,0.022764227642276424
4b,False,8192,6,519,1,0.0019267822736030828
4b,False,8192,7+,636,4,0.006289308176100629
4b,False,16384,4,940,53,0.05638297872340425
4b,False,16384,5,615,11,0.01788617886178862
4b,False,16384,6,519,3,0.005780346820809248
4b,False,16384,7+,636,1,0.0015723270440251573
4b,True,4096,4,940,214,0.2276595744680851
4b,True,4096,5,615,67,0.10894308943089431
4b,True,4096,6,519,5,0.009633911368015413
4b,True,4096,7+,636,0,0.0
4b,True,8192,4,940,203,0.21595744680851064
4b,True,8192,5,615,50,0.08130081300813008
4b,True,8192,6,519,8,0.015414258188824663
4b,True,8192,7+,636,2,0.0031446540880503146
4b,True,16384,4,940,234,0.24893617021276596
4b,True,16384,5,615,46,0.07479674796747968
4b,True,16384,6,519,12,0.023121387283236993
4b,True,16384,7+,636,1,0.0015723270440251573
8b,False,4096,4,940,30,0.031914893617021274
8b,False,4096,5,615,43,0.06991869918699187
8b,False,4096,6,519,6,0.011560693641618497
8b,False,4096,7+,636,6,0.009433962264150943
8b,False,8192,4,940,17,0.018085106382978722
8b,False,8192,5,615,43,0.06991869918699187
8b,False,8192,6,519,6,0.011560693641618497
8b,False,8192,7+,636,2,0.0031446540880503146
8b,False,16384,4,940,34,0.036170212765957444
8b,False,16384,5,615,46,0.07479674796747968
8b,False,16384,6,519,7,0.01348747591522158
8b,False,16384,7+,636,4,0.006289308176100629
8b,True,4096,4,940,258,0.274468085106383
8b,True,4096,5,615,96,0.15609756097560976
8b,True,4096,6,519,11,0.02119460500963391
8b,True,4096,7+,636,9,0.014150943396226415
8b,True,8192,4,940,227,0.24148936170212765
8b,True,8192,5,615,104,0.16910569105691056
8b,True,8192,6,519,13,0.025048169556840076
8b,True,8192,7+,636,8,0.012578616352201259
8b,True,16384,4,940,252,0.2680851063829787
8b,True,16384,5,615,88,0.14308943089430895
8b,True,16384,6,519,21,0.04046242774566474
8b,True,16384,7+,636,5,0.007861635220125786
claude-haiku,False,8192,4,940,465,0.4946808510638298
claude-haiku,False,8192,5,615,244,0.3967479674796748
claude-haiku,False,8192,6,519,122,0.2350674373795761
claude-haiku,False,8192,7+,636,49,0.0770440251572327
claude-haiku,False,12288,4,940,466,0.4957446808510638
claude-haiku,False,12288,5,615,257,0.41788617886178864
claude-haiku,False,12288,6,519,116,0.22350674373795762
claude-haiku,False,12288,7+,636,45,0.07075471698113207
claude-haiku,False,16384,4,940,471,0.5010638297872341
claude-haiku,False,16384,5,615,269,0.4373983739837398
claude-haiku,False,16384,6,519,117,0.2254335260115607
claude-haiku,False,16384,7+,636,50,0.07861635220125786
claude-haiku,True,4096,4,940,583,0.6202127659574468
claude-haiku,True,4096,5,615,322,0.5235772357723577
claude-haiku,True,4096,6,519,207,0.3988439306358382
claude-haiku,True,4096,7+,636,99,0.15566037735849056
claude-haiku,True,8192,4,940,605,0.6436170212765957
claude-haiku,True,8192,5,615,362,0.5886178861788618
claude-haiku,True,8192,6,519,242,0.4662813102119461
claude-haiku,True,8192,7+,636,149,0.23427672955974843
claude-haiku,True,16384,4,940,649,0.6904255319148936
claude-haiku,True,16384,5,615,390,0.6341463414634146
claude-haiku,True,16384,6,519,271,0.5221579961464354
claude-haiku,True,16384,7+,636,207,0.32547169811320753
gpt5-mini,True,4096,4,940,563,0.5989361702127659
gpt5-mini,True,4096,5,615,348,0.5658536585365853
gpt5-mini,True,4096,6,519,247,0.47591522157996147
gpt5-mini,True,4096,7+,636,212,0.3333333333333333
gpt5-mini,True,8192,4,940,621,0.6606382978723404
gpt5-mini,True,8192,5,615,379,0.616260162601626
gpt5-mini,True,8192,6,519,278,0.535645472061657
gpt5-mini,True,8192,7+,636,275,0.43238993710691825
gpt5-mini,True,16384,4,940,714,0.7595744680851064
gpt5-mini,True,16384,5,615,440,0.7154471544715447
gpt5-mini,True,16384,6,519,318,0.6127167630057804
gpt5-mini,True,16384,7+,636,308,0.48427672955974843
