model_size,thinking,thinking_budget,puzzle_id,date,center_letter,all_letters,predicted_words,actual_words,correctly_predicted,missed_words,false_positives,num_predicted,num_actual,num_correct,difficulty_source,precision,recall,f1,car,puzzle_difficulty,fp_constraint_violations,fp_non_dictionary,difficulty_weighted_recall,length_4_recall,length_4_count,length_5_recall,length_5_count,length_6_recall,length_6_count,length_7+_recall,length_7+_count,predicted_prefix_diversity,actual_prefix_diversity,prefix_coverage,avg_word_length_found,avg_word_length_missed,avg_word_length_all,num_actual_pangrams,num_predicted_pangrams,num_correct_pangrams,pangram_recall
claude-haiku,False,12288,15134,20250602,o,"['c', 'e', 'i', 'l', 'm', 'o', 'p']","['coilcoil', 'colecole', 'comecome', 'copecope', 'molemole', 'mopemope', 'polepole', 'poempoem', 'pomepome', 'oleicoleic', 'elopeelope', 'policepolice', 'coil', 'cole', 'come', 'cope', 'mole', 'mope', 'pole', 'poem', 'pome', 'polio', 'oleic', 'elope', 'loci', 'moil', 'epoc', 'police', 'polemic', 'lociloci', 'moilmoil']","['cello', 'clomp', 'clop', 'cocci', 'coil', 'colic', 'collie', 'come', 'comic', 'comp', 'compel', 'compile', 'cool', 'coop', 'cope', 'elope', 'limo', 'lipo', 'loci', 'loco', 'loll', 'lollipop', 'lollop', 'loom', 'loop', 'lope', 'memo', 'mimeo', 'moil', 'mole', 'moll', 'mope', 'oleic', 'oleo', 'olio', 'ollie', 'people', 'piccolo', 'plop', 'poem', 'pole', 'polemic', 'police', 'polio', 'poll', 'polo', 'pome', 'pomelo', 'pommel', 'pomp', 'pompom', 'pool', 'poop', 'pope']","['coil', 'come', 'cope', 'elope', 'loci', 'moil', 'mole', 'mope', 'oleic', 'poem', 'pole', 'polemic', 'police', 'polio', 'pome']","['cello', 'clomp', 'clop', 'cocci', 'colic', 'collie', 'comic', 'comp', 'compel', 'compile', 'cool', 'coop', 'limo', 'lipo', 'loco', 'loll', 'lollipop', 'lollop', 'loom', 'loop', 'lope', 'memo', 'mimeo', 'moll', 'oleo', 'olio', 'ollie', 'people', 'piccolo', 'plop', 'poll', 'polo', 'pomelo', 'pommel', 'pomp', 'pompom', 'pool', 'poop', 'pope']","['coilcoil', 'cole', 'colecole', 'comecome', 'copecope', 'elopeelope', 'epoc', 'lociloci', 'moilmoil', 'molemole', 'mopemope', 'oleicoleic', 'poempoem', 'polepole', 'policepolice', 'pomepome']",31,54,15,user_data,0.4838709677419355,0.2777777777777778,0.35294117647058826,1.0,hard,0,16,0.24269714077581492,0.3125,32.0,0.3,10.0,0.125,8.0,0.25,4.0,7.0,14,0.5,4.533333333333333,4.794871794871795,4.722222222222222,2,1,1,0.5
claude-haiku,False,12288,9692,20250603,u,"['a', 'g', 'i', 'l', 'm', 'n', 'u']","['lunglung', 'glumglum', 'maulmaul', 'gaulgaul', 'ungualungual', 'lingualingua', 'linguallingual', 'alumalum', 'maulingmauling', 'inulainula', 'mauling', 'alum', 'gaul', 'glum', 'luau', 'lung', 'maul', 'inula', 'lingua', 'lingual', 'ungual']","['allium', 'alum', 'alumina', 'aluminum', 'alumna', 'alumni', 'annual', 'annul', 'annuli', 'annulling', 'gallium', 'gauging', 'glug', 'glugging', 'gluing', 'glum', 'gulag', 'gull', 'gulling', 'gumming', 'gunman', 'gunning', 'iguana', 'ilium', 'linguini', 'luau', 'lugging', 'luging', 'lull', 'lulling', 'lulu', 'luna', 'lung', 'lunging', 'lunula', 'magnum', 'manual', 'maul', 'mauling', 'minimum', 'mugging', 'mull', 'mulligan', 'mulling', 'mung', 'muumuu', 'null', 'ulna', 'umami', 'unilingual', 'unman', 'unmanning']","['alum', 'glum', 'luau', 'lung', 'maul', 'mauling']","['allium', 'alumina', 'aluminum', 'alumna', 'alumni', 'annual', 'annul', 'annuli', 'annulling', 'gallium', 'gauging', 'glug', 'glugging', 'gluing', 'gulag', 'gull', 'gulling', 'gumming', 'gunman', 'gunning', 'iguana', 'ilium', 'linguini', 'lugging', 'luging', 'lull', 'lulling', 'lulu', 'luna', 'lunging', 'lunula', 'magnum', 'manual', 'minimum', 'mugging', 'mull', 'mulligan', 'mulling', 'mung', 'muumuu', 'null', 'ulna', 'umami', 'unilingual', 'unman', 'unmanning']","['alumalum', 'gaul', 'gaulgaul', 'glumglum', 'inula', 'inulainula', 'lingua', 'lingual', 'lingualingua', 'linguallingual', 'lunglung', 'maulingmauling', 'maulmaul', 'ungual', 'ungualungual']",21,52,6,user_data,0.2857142857142857,0.11538461538461539,0.1643835616438356,1.0,hard,0,15,0.0641664333591344,0.35714285714285715,14.0,0.0,5.0,0.0,13.0,0.05,20.0,8.0,16,0.5,4.5,6.1521739130434785,5.961538461538462,2,2,1,0.5
claude-haiku,False,12288,20613,20250604,t,"['a', 'd', 'e', 'h', 'l', 't', 'y']","['date', 'death', 'delt', 'heat', 'late', 'lath', 'teat', 'teal', 'tell', 'that', 'datedate', 'deltdelt', 'halthalt', 'hatehate', 'heatheat', 'latelate', 'lathlath', 'tealteal', 'teatteat', 'thatthat', 'deathdeath', 'deltadelta', 'dealtdealt', 'dateddated', 'hatedhated', 'latelylately', 'halted', 'haltedhalted', 'lathedlathed', 'dated', 'heatedheated', 'healthhealth', 'halt', 'hate', 'dealt', 'delta', 'hated', 'lately', 'lathed', 'heated', 'health', 'thated', 'teeth', 'thatde', 'latte', 'delate', 'hath']","['athlete', 'data', 'date', 'dated', 'dealt', 'death', 'deathly', 'delete', 'deleted', 'delt', 'delta', 'elate', 'elated', 'elatedly', 'ethyl', 'eyelet', 'eyeteeth', 'halt', 'halted', 'hate', 'hated', 'hath', 'hatha', 'hatted', 'health', 'healthy', 'heat', 'heated', 'heatedly', 'heath', 'late', 'lately', 'lath', 'lathe', 'lathed', 'latte', 'layette', 'lethal', 'lethally', 'tale', 'tall', 'tally', 'tatted', 'tattle', 'tattled', 'tattletale', 'tatty', 'teal', 'teat', 'teddy', 'teed', 'teeth', 'teethe', 'teethed', 'telehealth', 'tell', 'telltale', 'that', 'thee', 'theta', 'they']","['date', 'dated', 'dealt', 'death', 'delt', 'delta', 'halt', 'halted', 'hate', 'hated', 'hath', 'health', 'heat', 'heated', 'late', 'lately', 'lath', 'lathed', 'latte', 'teal', 'teat', 'teeth', 'tell', 'that']","['athlete', 'data', 'deathly', 'delete', 'deleted', 'elate', 'elated', 'elatedly', 'ethyl', 'eyelet', 'eyeteeth', 'hatha', 'hatted', 'healthy', 'heatedly', 'heath', 'lathe', 'layette', 'lethal', 'lethally', 'tale', 'tall', 'tally', 'tatted', 'tattle', 'tattled', 'tattletale', 'tatty', 'teddy', 'teed', 'teethe', 'teethed', 'telehealth', 'telltale', 'thee', 'theta', 'they']","['datedate', 'dateddated', 'dealtdealt', 'deathdeath', 'delate', 'deltadelta', 'deltdelt', 'haltedhalted', 'halthalt', 'hatedhated', 'hatehate', 'healthhealth', 'heatedheated', 'heatheat', 'latelate', 'latelylately', 'lathedlathed', 'lathlath', 'tealteal', 'teatteat', 'thatde', 'thated', 'thatthat']",47,61,24,user_data,0.5106382978723404,0.39344262295081966,0.4444444444444444,1.0,hard,0,23,0.19895884755194546,0.6666666666666666,18.0,0.4375,16.0,0.38461538461538464,13.0,0.0,14.0,7.0,13,0.5384615384615384,4.708333333333333,6.108108108108108,5.557377049180328,2,0,0,0.0
claude-haiku,False,12288,15403,20250605,r,"['a', 'c', 'l', 'o', 'r', 't', 'u']","['cartcart', 'curtcurt', 'oraloral', 'orcaorca', 'roarroar', 'tourtour', 'tarotaro', 'tarttart', 'torctorc', 'curlcurl', 'carlcarl', 'troutrou', 'lourlour', 'routrout', 'actoractor', 'courtcourt', 'coralcoral', 'tracttract', 'ultraultra', 'tarottarot', 'ratalratal', 'croutcrout', 'ocularocular', 'torulatorula', 'cart', 'curt', 'oral', 'orca', 'roar', 'tour', 'taro', 'tart', 'torc', 'curl', 'carl', 'lour', 'rout', 'actor', 'court', 'coral', 'tract', 'ultra', 'ocular', 'tarot', 'ratal', 'crout', 'torula', 'arco', 'orator', 'turaco']","['accrual', 'actor', 'actuator', 'allocator', 'altar', 'aorta', 'aortal', 'arco', 'attar', 'attract', 'attractor', 'aura', 'aural', 'aurora', 'auroral', 'autocrat', 'calculator', 'carat', 'carol', 'carrot', 'cart', 'cataract', 'collar', 'color', 'coloratura', 'coral', 'corolla', 'corral', 'court', 'croc', 'cultural', 'curacao', 'curator', 'curl', 'curt', 'locator', 'occur', 'ocular', 'oracular', 'oral', 'orator', 'orca', 'outro', 'ratatat', 'roar', 'rococo', 'roll', 'rollout', 'root', 'rotator', 'rotor', 'rout', 'rural', 'taro', 'tarot', 'tart', 'tartar', 'toro', 'tort', 'torta', 'tour', 'tract', 'tractor', 'troll', 'trot', 'trout', 'tutor', 'ultra']","['actor', 'arco', 'cart', 'coral', 'court', 'curl', 'curt', 'ocular', 'oral', 'orator', 'orca', 'roar', 'rout', 'taro', 'tarot', 'tart', 'tour', 'tract', 'ultra']","['accrual', 'actuator', 'allocator', 'altar', 'aorta', 'aortal', 'attar', 'attract', 'attractor', 'aura', 'aural', 'aurora', 'auroral', 'autocrat', 'calculator', 'carat', 'carol', 'carrot', 'cataract', 'collar', 'color', 'coloratura', 'corolla', 'corral', 'croc', 'cultural', 'curacao', 'curator', 'locator', 'occur', 'oracular', 'outro', 'ratatat', 'rococo', 'roll', 'rollout', 'root', 'rotator', 'rotor', 'rural', 'tartar', 'toro', 'tort', 'torta', 'tractor', 'troll', 'trot', 'trout', 'tutor']","['actoractor', 'carl', 'carlcarl', 'cartcart', 'coralcoral', 'courtcourt', 'crout', 'croutcrout', 'curlcurl', 'curtcurt', 'lour', 'lourlour', 'ocularocular', 'oraloral', 'orcaorca', 'ratal', 'ratalratal', 'roarroar', 'routrout', 'tarotaro', 'tarottarot', 'tarttart', 'torc', 'torctorc', 'torula', 'torulatorula', 'tourtour', 'tracttract', 'troutrou', 'turaco', 'ultraultra']",50,68,19,user_data,0.38,0.27941176470588236,0.3220338983050848,1.0,hard,0,31,0.17985297636081307,0.6111111111111112,18.0,0.2857142857142857,21.0,0.2222222222222222,9.0,0.0,20.0,16.0,22,0.7272727272727273,4.526315789473684,6.122448979591836,5.676470588235294,2,0,0,0.0
claude-haiku,False,12288,18647,20250606,w,"['a', 'g', 'i', 'l', 'n', 'o', 'w']","['wailwail', 'wainwain', 'wingwing', 'winowino', 'lawnlawn', 'loinloinnow', 'lowinglowing', 'aglowaglow', 'glowglow', 'gowngown', 'awingawing', 'owingowing', 'walingwaling', 'wagonwagon', 'alongalongnow', 'wailingwailing', 'owningowning', 'gnawgnaw', 'wongawonga', 'loaningloaningnow', 'wail', 'wain', 'wing', 'wino', 'lawn', 'lowing', 'aglow', 'glow', 'gown', 'awing', 'owing', 'waling', 'wining', 'wagon', 'wailing', 'owning', 'gnaw', 'wonga', 'alow', 'wlong', 'wagging', 'wigan', 'owling', 'wiling']","['aglow', 'allow', 'allowing', 'awing', 'awning', 'glow', 'glowing', 'gnaw', 'gnawing', 'gown', 'gowning', 'lawn', 'lowing', 'owing', 'owning', 'wagging', 'waggling', 'waging', 'wagon', 'wail', 'wailing', 'wall', 'walling', 'wallow', 'wallowing', 'wangling', 'waning', 'wanna', 'wigging', 'wiggling', 'wigwag', 'wigwagging', 'will', 'willing', 'willow', 'wing', 'winging', 'wining', 'winning', 'winnow', 'winnowing', 'wino', 'wooing', 'wool', 'wowing']","['aglow', 'awing', 'glow', 'gnaw', 'gown', 'lawn', 'lowing', 'owing', 'owning', 'wagging', 'wagon', 'wail', 'wailing', 'wing', 'wining', 'wino']","['allow', 'allowing', 'awning', 'glowing', 'gnawing', 'gowning', 'waggling', 'waging', 'wall', 'walling', 'wallow', 'wallowing', 'wangling', 'waning', 'wanna', 'wigging', 'wiggling', 'wigwag', 'wigwagging', 'will', 'willing', 'willow', 'winging', 'winning', 'winnow', 'winnowing', 'wooing', 'wool', 'wowing']","['aglowaglow', 'alongalongnow', 'alow', 'awingawing', 'glowglow', 'gnawgnaw', 'gowngown', 'lawnlawn', 'loaningloaningnow', 'loinloinnow', 'lowinglowing', 'owingowing', 'owling', 'owningowning', 'wagonwagon', 'wailingwailing', 'wailwail', 'wain', 'wainwain', 'waling', 'walingwaling', 'wigan', 'wiling', 'wingwing', 'winowino', 'wlong', 'wonga', 'wongawonga']",44,45,16,user_data,0.36363636363636365,0.35555555555555557,0.3595505617977528,1.0,medium,0,28,0.26283633863558237,0.7,10.0,0.6666666666666666,6.0,0.25,12.0,0.11764705882352941,17.0,13.0,12,1.0833333333333333,5.0,6.620689655172414,6.044444444444444,2,1,0,0.0
claude-haiku,False,12288,22846,20250607,c,"['a', 'c', 'e', 'f', 'i', 'l', 't']","['face', 'fact', 'lace', 'ceil', 'cafe', 'talc', 'calf', 'cite', 'fice', 'lice', 'tace', 'facet', 'eclat', 'licit', 'tacit', 'facile', 'acetic', 'tactilet', 'fictilef', 'attic', 'tactile', 'fictile', 'tical', 'facia', 'fecal', 'elicit']","['acacia', 'acai', 'acetal', 'acetate', 'acetic', 'affect', 'afflict', 'attic', 'cacti', 'cafe', 'calcite', 'calf', 'call', 'calla', 'catcall', 'cattail', 'cattle', 'celiac', 'cell', 'celli', 'cilia', 'cite', 'cleat', 'clef', 'cleft', 'cliff', 'eclat', 'eclectic', 'efface', 'effect', 'elect', 'electee', 'elicit', 'face', 'facelift', 'facet', 'facial', 'facile', 'facilitate', 'fact', 'fecal', 'fleece', 'icefall', 'icicle', 'iliac', 'illicit', 'italic', 'lace', 'lactate', 'lacteal', 'lactic', 'laic', 'laical', 'lattice', 'lice', 'licit', 'lilac', 'tacet', 'tacit', 'tact', 'tactic', 'tactical', 'tactile', 'talc']","['acetic', 'attic', 'cafe', 'calf', 'cite', 'eclat', 'elicit', 'face', 'facet', 'facile', 'fact', 'fecal', 'lace', 'lice', 'licit', 'tacit', 'tactile', 'talc']","['acacia', 'acai', 'acetal', 'acetate', 'affect', 'afflict', 'cacti', 'calcite', 'call', 'calla', 'catcall', 'cattail', 'cattle', 'celiac', 'cell', 'celli', 'cilia', 'cleat', 'clef', 'cleft', 'cliff', 'eclectic', 'efface', 'effect', 'elect', 'electee', 'facelift', 'facial', 'facilitate', 'fleece', 'icefall', 'icicle', 'iliac', 'illicit', 'italic', 'lactate', 'lacteal', 'lactic', 'laic', 'laical', 'lattice', 'lilac', 'tacet', 'tact', 'tactic', 'tactical']","['ceil', 'facia', 'fice', 'fictile', 'fictilef', 'tace', 'tactilet', 'tical']",26,64,18,user_data,0.6923076923076923,0.28125,0.4,1.0,hard,0,8,0.19208108374492133,0.5714285714285714,14.0,0.35294117647058826,17.0,0.17647058823529413,17.0,0.0625,16.0,14.0,19,0.7368421052631579,4.833333333333333,5.956521739130435,5.640625,2,0,0,0.0
claude-haiku,False,12288,20796,20250608,o,"['a', 'd', 'i', 'n', 'o', 'p', 't']","['pionp', 'tnoo', 'pondp', 'podap', 'toadt', 'podip', 'intoi', 'atopa', 'dontd', 'pootp', 'ontoo', 'adopta', 'pianop', 'pointp', 'pintop', 'podiap', 'patiop', 'ationa', 'potionp', 'nationn', 'adaptiona', 'pion', 'pond', 'toad', 'into', 'atop', 'onto', 'adopt', 'piano', 'point', 'pinto', 'podia', 'patio', 'potion', 'nation', 'padon', 'oint', 'optin', 'adoni', 'taipo', 'dinot', 'tapion', 'apod', 'diota']","['adaptation', 'addition', 'adopt', 'adoption', 'anion', 'annatto', 'annotation', 'anoint', 'anon', 'appoint', 'atop', 'dino', 'ditto', 'dodo', 'donation', 'doodad', 'idiot', 'initiation', 'into', 'intonation', 'iota', 'nation', 'nonpaid', 'noon', 'notation', 'notion', 'onion', 'onto', 'opinion', 'opioid', 'option', 'patio', 'piano', 'pinion', 'pinot', 'pinpoint', 'pinto', 'piton', 'podia', 'point', 'pond', 'pontoon', 'poop', 'poppa', 'potato', 'potion', 'tattoo', 'tiptop', 'toad', 'toon', 'toot']","['adopt', 'atop', 'into', 'nation', 'onto', 'patio', 'piano', 'pinto', 'podia', 'point', 'pond', 'potion', 'toad']","['adaptation', 'addition', 'adoption', 'anion', 'annatto', 'annotation', 'anoint', 'anon', 'appoint', 'dino', 'ditto', 'dodo', 'donation', 'doodad', 'idiot', 'initiation', 'intonation', 'iota', 'nonpaid', 'noon', 'notation', 'notion', 'onion', 'opinion', 'opioid', 'option', 'pinion', 'pinot', 'pinpoint', 'piton', 'pontoon', 'poop', 'poppa', 'potato', 'tattoo', 'tiptop', 'toon', 'toot']","['adaptiona', 'adoni', 'adopta', 'apod', 'ationa', 'atopa', 'dinot', 'diota', 'dontd', 'intoi', 'nationn', 'oint', 'ontoo', 'optin', 'padon', 'patiop', 'pianop', 'pintop', 'pion', 'pionp', 'podap', 'podiap', 'podip', 'pointp', 'pondp', 'pootp', 'potionp', 'taipo', 'tapion', 'tnoo', 'toadt']",44,51,13,user_data,0.29545454545454547,0.2549019607843137,0.27368421052631586,1.0,hard,0,31,0.20073500198649186,0.38461538461538464,13.0,0.46153846153846156,13.0,0.18181818181818182,11.0,0.0,14.0,16.0,19,0.8421052631578947,4.769230769230769,6.2105263157894735,5.8431372549019605,2,1,0,0.0
claude-haiku,False,12288,25020,20250609,b,"['a', 'b', 'h', 'i', 'l', 't', 'y']","['abilitya', 'alibia', 'bathb', 'baitb', 'bailb', 'bahtb', 'bailyb', 'baithb', 'blahb', 'blabb', 'habith', 'labilityl', 'tabit', 'ablya', 'tibiat', 'ability', 'alibi', 'baht', 'bail', 'bait', 'blah', 'blab', 'ably', 'habit', 'lability', 'tabi', 'tibia', 'bath', 'baily', 'habilty', 'hability']","['ability', 'ably', 'alibi', 'baba', 'baby', 'baht', 'bail', 'bait', 'ball', 'bath', 'battily', 'batty', 'bialy', 'bilabial', 'bill', 'billy', 'blab', 'blabby', 'blah', 'blat', 'habit', 'habitability', 'habitat', 'hillbilly', 'labia', 'labial', 'lability', 'liability', 'tabby', 'tabla', 'tibia', 'tibial']","['ability', 'ably', 'alibi', 'baht', 'bail', 'bait', 'bath', 'blab', 'blah', 'habit', 'lability', 'tibia']","['baba', 'baby', 'ball', 'battily', 'batty', 'bialy', 'bilabial', 'bill', 'billy', 'blabby', 'blat', 'habitability', 'habitat', 'hillbilly', 'labia', 'labial', 'liability', 'tabby', 'tabla', 'tibial']","['abilitya', 'ablya', 'alibia', 'bahtb', 'bailb', 'baily', 'bailyb', 'baitb', 'baithb', 'bathb', 'blabb', 'blahb', 'hability', 'habilty', 'habith', 'labilityl', 'tabi', 'tabit', 'tibiat']",31,32,12,user_data,0.3870967741935484,0.375,0.38095238095238093,1.0,medium,0,19,0.32222742161909224,0.5833333333333334,12.0,0.3333333333333333,9.0,0.0,3.0,0.25,8.0,8.0,11,0.7272727272727273,4.833333333333333,6.0,5.5625,1,2,0,0.0
claude-haiku,False,12288,24604,20250610,t,"['e', 'g', 'i', 'l', 'm', 't', 'z']","['tiletile', 'timetime', 'giltgilt', 'litelite', 'mitemite', 'emitemit', 'geltgelt', 'meltmelt', 'miltmilt', 'itemitem', 'glitzglitz', 'giletgilet', 'gleetgleet', 'gimletgimlet', 'emit', 'gelt', 'gilt', 'gimlet', 'gleet', 'glitz', 'gilet', 'item', 'lite', 'melt', 'mite', 'milt', 'tile', 'time']","['elite', 'emit', 'gelt', 'gilt', 'gimlet', 'glitz', 'item', 'itemize', 'legit', 'legitimize', 'lilt', 'limit', 'lite', 'little', 'meet', 'melt', 'mete', 'mettle', 'millet', 'mite', 'mitt', 'teem', 'tell', 'tile', 'till', 'tilt', 'time', 'title', 'tittle', 'ziti']","['emit', 'gelt', 'gilt', 'gimlet', 'glitz', 'item', 'lite', 'melt', 'mite', 'tile', 'time']","['elite', 'itemize', 'legit', 'legitimize', 'lilt', 'limit', 'little', 'meet', 'mete', 'mettle', 'millet', 'mitt', 'teem', 'tell', 'till', 'tilt', 'title', 'tittle', 'ziti']","['emitemit', 'geltgelt', 'gilet', 'giletgilet', 'giltgilt', 'gimletgimlet', 'gleet', 'gleetgleet', 'glitzglitz', 'itemitem', 'litelite', 'meltmelt', 'milt', 'miltmilt', 'mitemite', 'tiletile', 'timetime']",28,30,11,user_data,0.39285714285714285,0.36666666666666664,0.3793103448275862,1.0,medium,0,17,0.2966317172813759,0.5,18.0,0.2,5.0,0.2,5.0,0.0,2.0,9.0,13,0.6923076923076923,4.2727272727272725,5.105263157894737,4.8,1,0,0,0.0
claude-haiku,False,12288,11292,20250611,o,"['a', 'c', 'k', 'l', 'n', 'o', 'u']","['coakc', 'coalc', 'conkc', 'coolc', 'kaonk', 'koank', 'loanl', 'lockl', 'lookl', 'loonl', 'nockn', 'noonn', 'cloakc', 'colonc', 'koalak', 'cocoonc', 'unlocku', 'coak', 'coal', 'conk', 'cool', 'kaon', 'koan', 'loan', 'lock', 'look', 'loon', 'nock', 'noon', 'cloak', 'colon', 'koala', 'cocoon', 'unlock']","['anon', 'cacao', 'callaloo', 'cannon', 'canola', 'canon', 'cloaca', 'cloak', 'clock', 'clonk', 'coal', 'coca', 'cock', 'cocoa', 'cocoon', 'cola', 'colcannon', 'colon', 'conk', 'cook', 'cool', 'cuckoo', 'knock', 'knoll', 'koala', 'koan', 'kola', 'kook', 'llano', 'loan', 'local', 'lock', 'loco', 'loll', 'look', 'loon', 'nock', 'nonlocal', 'nook', 'noon', 'noun', 'uncloak', 'uncock', 'uncool', 'unlock']","['cloak', 'coal', 'cocoon', 'colon', 'conk', 'cool', 'koala', 'koan', 'loan', 'lock', 'look', 'loon', 'nock', 'noon', 'unlock']","['anon', 'cacao', 'callaloo', 'cannon', 'canola', 'canon', 'cloaca', 'clock', 'clonk', 'coca', 'cock', 'cocoa', 'cola', 'colcannon', 'cook', 'cuckoo', 'knock', 'knoll', 'kola', 'kook', 'llano', 'local', 'loco', 'loll', 'nonlocal', 'nook', 'noun', 'uncloak', 'uncock', 'uncool']","['cloakc', 'coak', 'coakc', 'coalc', 'cocoonc', 'colonc', 'conkc', 'coolc', 'kaon', 'kaonk', 'koalak', 'koank', 'loanl', 'lockl', 'lookl', 'loonl', 'nockn', 'noonn', 'unlocku']",34,45,15,user_data,0.4411764705882353,0.3333333333333333,0.37974683544303794,1.0,medium,0,19,0.22612774269749694,0.47619047619047616,21.0,0.25,12.0,0.25,8.0,0.0,4.0,7.0,11,0.6363636363636364,4.466666666666667,5.233333333333333,4.977777777777778,1,0,0,0.0
