model_size,thinking,thinking_budget,difficulty_quartile,recall,num_words,mean_human_success_rate
14b,False,4096,Very Easy (Q1),0.060382916053019146,679,0.945321796759941
14b,False,4096,Easy (Q2),0.03994082840236687,676,0.8695926035502959
14b,False,4096,Hard (Q3),0.016224188790560472,678,0.7583194690265486
14b,False,4096,Very Hard (Q4),0.008862629246676515,677,0.526349483013294
14b,False,8192,Very Easy (Q1),0.06480117820324006,679,0.945321796759941
14b,False,8192,Easy (Q2),0.047337278106508875,676,0.8695926035502959
14b,False,8192,Hard (Q3),0.02064896755162242,678,0.7583194690265486
14b,False,8192,Very Hard (Q4),0.004431314623338257,677,0.526349483013294
14b,False,16384,Very Easy (Q1),0.06480117820324006,679,0.945321796759941
14b,False,16384,Easy (Q2),0.04142011834319527,676,0.8695926035502959
14b,False,16384,Hard (Q3),0.029498525073746312,678,0.7583194690265486
14b,False,16384,Very Hard (Q4),0.013293943870014771,677,0.526349483013294
14b,True,4096,Very Easy (Q1),0.32106038291605304,679,0.945321796759941
14b,True,4096,Easy (Q2),0.20857988165680474,676,0.8695926035502959
14b,True,4096,Hard (Q3),0.12979351032448377,678,0.7583194690265486
14b,True,4096,Very Hard (Q4),0.0413589364844904,677,0.526349483013294
14b,True,8192,Very Easy (Q1),0.30633284241531666,679,0.945321796759941
14b,True,8192,Easy (Q2),0.1952662721893491,676,0.8695926035502959
14b,True,8192,Hard (Q3),0.1224188790560472,678,0.7583194690265486
14b,True,8192,Very Hard (Q4),0.04874446085672083,677,0.526349483013294
14b,True,16384,Very Easy (Q1),0.29013254786450665,679,0.945321796759941
14b,True,16384,Easy (Q2),0.1878698224852071,676,0.8695926035502959
14b,True,16384,Hard (Q3),0.12389380530973451,678,0.7583194690265486
14b,True,16384,Very Hard (Q4),0.04874446085672083,677,0.526349483013294
30b,False,4096,Very Easy (Q1),0.06921944035346098,679,0.945321796759941
30b,False,4096,Easy (Q2),0.05473372781065089,676,0.8695926035502959
30b,False,4096,Hard (Q3),0.028023598820058997,678,0.7583194690265486
30b,False,4096,Very Hard (Q4),0.0103397341211226,677,0.526349483013294
30b,False,8192,Very Easy (Q1),0.13696612665684832,679,0.945321796759941
30b,False,8192,Easy (Q2),0.0650887573964497,676,0.8695926035502959
30b,False,8192,Hard (Q3),0.035398230088495575,678,0.7583194690265486
30b,False,8192,Very Hard (Q4),0.01624815361890694,677,0.526349483013294
30b,False,16384,Very Easy (Q1),0.12223858615611193,679,0.945321796759941
30b,False,16384,Easy (Q2),0.0695266272189349,676,0.8695926035502959
30b,False,16384,Hard (Q3),0.03392330383480826,678,0.7583194690265486
30b,False,16384,Very Hard (Q4),0.011816838995568686,677,0.526349483013294
30b,True,4096,Very Easy (Q1),0.05743740795287187,679,0.945321796759941
30b,True,4096,Easy (Q2),0.03994082840236687,676,0.8695926035502959
30b,True,4096,Hard (Q3),0.02359882005899705,678,0.7583194690265486
30b,True,4096,Very Hard (Q4),0.008862629246676515,677,0.526349483013294
30b,True,8192,Very Easy (Q1),0.39911634756995584,679,0.945321796759941
30b,True,8192,Easy (Q2),0.23224852071005916,676,0.8695926035502959
30b,True,8192,Hard (Q3),0.10766961651917405,678,0.7583194690265486
30b,True,8192,Very Hard (Q4),0.023633677991137372,677,0.526349483013294
30b,True,16384,Very Easy (Q1),0.38291605301914583,679,0.945321796759941
30b,True,16384,Easy (Q2),0.23076923076923078,676,0.8695926035502959
30b,True,16384,Hard (Q3),0.09882005899705015,678,0.7583194690265486
30b,True,16384,Very Hard (Q4),0.03545051698670606,677,0.526349483013294
32b,False,4096,Very Easy (Q1),0.13991163475699558,679,0.945321796759941
32b,False,4096,Easy (Q2),0.06804733727810651,676,0.8695926035502959
32b,False,4096,Hard (Q3),0.035398230088495575,678,0.7583194690265486
32b,False,4096,Very Hard (Q4),0.013293943870014771,677,0.526349483013294
32b,False,8192,Very Easy (Q1),0.13991163475699558,679,0.945321796759941
32b,False,8192,Easy (Q2),0.08284023668639054,676,0.8695926035502959
32b,False,8192,Hard (Q3),0.030973451327433628,678,0.7583194690265486
32b,False,8192,Very Hard (Q4),0.011816838995568686,677,0.526349483013294
32b,False,16384,Very Easy (Q1),0.14138438880706922,679,0.945321796759941
32b,False,16384,Easy (Q2),0.07396449704142012,676,0.8695926035502959
32b,False,16384,Hard (Q3),0.03687315634218289,678,0.7583194690265486
32b,False,16384,Very Hard (Q4),0.0206794682422452,677,0.526349483013294
32b,True,4096,Very Easy (Q1),0.33431516936671574,679,0.945321796759941
32b,True,4096,Easy (Q2),0.19822485207100593,676,0.8695926035502959
32b,True,4096,Hard (Q3),0.1430678466076696,678,0.7583194690265486
32b,True,4096,Very Hard (Q4),0.03545051698670606,677,0.526349483013294
32b,True,8192,Very Easy (Q1),0.37702503681885124,679,0.945321796759941
32b,True,8192,Easy (Q2),0.2514792899408284,676,0.8695926035502959
32b,True,8192,Hard (Q3),0.17404129793510326,678,0.7583194690265486
32b,True,8192,Very Hard (Q4),0.06351550960118169,677,0.526349483013294
32b,True,16384,Very Easy (Q1),0.34609720176730485,679,0.945321796759941
32b,True,16384,Easy (Q2),0.2440828402366864,676,0.8695926035502959
32b,True,16384,Hard (Q3),0.1607669616519174,678,0.7583194690265486
32b,True,16384,Very Hard (Q4),0.059084194977843424,677,0.526349483013294
4b,False,4096,Very Easy (Q1),0.05891016200294551,679,0.945321796759941
4b,False,4096,Easy (Q2),0.02514792899408284,676,0.8695926035502959
4b,False,4096,Hard (Q3),0.01032448377581121,678,0.7583194690265486
4b,False,4096,Very Hard (Q4),0.004431314623338257,677,0.526349483013294
4b,False,8192,Very Easy (Q1),0.045655375552282766,679,0.945321796759941
4b,False,8192,Easy (Q2),0.028106508875739646,676,0.8695926035502959
4b,False,8192,Hard (Q3),0.008849557522123894,678,0.7583194690265486
4b,False,8192,Very Hard (Q4),0.007385524372230428,677,0.526349483013294
4b,False,16384,Very Easy (Q1),0.060382916053019146,679,0.945321796759941
4b,False,16384,Easy (Q2),0.028106508875739646,676,0.8695926035502959
4b,False,16384,Hard (Q3),0.007374631268436578,678,0.7583194690265486
4b,False,16384,Very Hard (Q4),0.004431314623338257,677,0.526349483013294
4b,True,4096,Very Easy (Q1),0.23858615611192932,679,0.945321796759941
4b,True,4096,Easy (Q2),0.11538461538461539,676,0.8695926035502959
4b,True,4096,Hard (Q3),0.051622418879056046,678,0.7583194690265486
4b,True,4096,Very Hard (Q4),0.01624815361890694,677,0.526349483013294
4b,True,8192,Very Easy (Q1),0.21796759941089838,679,0.945321796759941
4b,True,8192,Easy (Q2),0.10798816568047337,676,0.8695926035502959
4b,True,8192,Hard (Q3),0.051622418879056046,678,0.7583194690265486
4b,True,8192,Very Hard (Q4),0.0103397341211226,677,0.526349483013294
4b,True,16384,Very Easy (Q1),0.24153166421207659,679,0.945321796759941
4b,True,16384,Easy (Q2),0.11834319526627218,676,0.8695926035502959
4b,True,16384,Hard (Q3),0.061946902654867256,678,0.7583194690265486
4b,True,16384,Very Hard (Q4),0.0103397341211226,677,0.526349483013294
8b,False,4096,Very Easy (Q1),0.048600883652430045,679,0.945321796759941
8b,False,4096,Easy (Q2),0.04437869822485207,676,0.8695926035502959
8b,False,4096,Hard (Q3),0.025073746312684365,678,0.7583194690265486
8b,False,4096,Very Hard (Q4),0.007385524372230428,677,0.526349483013294
8b,False,8192,Very Easy (Q1),0.041237113402061855,679,0.945321796759941
8b,False,8192,Easy (Q2),0.028106508875739646,676,0.8695926035502959
8b,False,8192,Hard (Q3),0.025073746312684365,678,0.7583194690265486
8b,False,8192,Very Hard (Q4),0.005908419497784343,677,0.526349483013294
8b,False,16384,Very Easy (Q1),0.055964653902798235,679,0.945321796759941
8b,False,16384,Easy (Q2),0.04142011834319527,676,0.8695926035502959
8b,False,16384,Hard (Q3),0.032448377581120944,678,0.7583194690265486
8b,False,16384,Very Hard (Q4),0.004431314623338257,677,0.526349483013294
8b,True,4096,Very Easy (Q1),0.28718703976435933,679,0.945321796759941
8b,True,4096,Easy (Q2),0.16272189349112426,676,0.8695926035502959
8b,True,4096,Hard (Q3),0.07817109144542773,678,0.7583194690265486
8b,True,4096,Very Hard (Q4),0.023633677991137372,677,0.526349483013294
8b,True,8192,Very Easy (Q1),0.24742268041237114,679,0.945321796759941
8b,True,8192,Easy (Q2),0.1760355029585799,676,0.8695926035502959
8b,True,8192,Hard (Q3),0.07374631268436578,678,0.7583194690265486
8b,True,8192,Very Hard (Q4),0.022156573116691284,677,0.526349483013294
8b,True,16384,Very Easy (Q1),0.2857142857142857,679,0.945321796759941
8b,True,16384,Easy (Q2),0.14644970414201183,676,0.8695926035502959
8b,True,16384,Hard (Q3),0.07669616519174041,678,0.7583194690265486
8b,True,16384,Very Hard (Q4),0.0310192023633678,677,0.526349483013294
claude-haiku,False,8192,Very Easy (Q1),0.5272459499263623,679,0.945321796759941
claude-haiku,False,8192,Easy (Q2),0.3816568047337278,676,0.8695926035502959
claude-haiku,False,8192,Hard (Q3),0.2728613569321534,678,0.7583194690265486
